Bezeichner	Straße	PLZ	Ort	Voraussichtliche Inbetriebnahme
Grundschulen Hemmingstedt	Bahnhofstraße 47	25770	Hemmingstedt	2023 Q4
Friedrich-Elvers-Schule	Schulstraße 29 - 31	25779	Hennstedt (Dithmarschen)	2023 Q4
Grundschule Hennstedt	Schulstraße 29 - 31	25779	Hennstedt (Dithmarschen)	2023 Q4
Eider-Nordsee-Schule	Schulstraße 29 - 31	25779	Hennstedt (Dithmarschen)	2023 Q4
Grundschule Hennstedt und Brokstedt 	Schulstraße 17	25581	Hennstedt (Steinburg)	2020 Q3
Grundschule Lütte School	Abschiedskoppel 6	24558	Henstedt-Ulzburg	12.03.2019
Förderzentrum Henstedt-Ulzburg	Beckersbergstraße 95	24558	Henstedt-Ulzburg	01.02.2019
Olzeborchschule	Beckersbergstrasse 95	24558	Henstedt-Ulzburg	01.02.2019
Alstergymnasium	Maurepasstraße 67	24558	Henstedt-Ulzburg	12.03.2019
Gemeinschaftsschule Rhen	Schäferkampsweg 34	24558	Henstedt-Ulzburg	28.11.2019
Grundschule Ulzburg	Schulstraße 9	24558	Henstedt-Ulzburg	26.02.2019
Grundschule Rhen	Theodor-Storm-Straße 20	24558	Henstedt-Ulzburg	01.02.2019
Schule am Deich	Hinterstraße 3	25379	Herzhorn	in Planung
Grundschule Haseldorfer Marsch	Hauptstraße 65 a	25491	Hetlingen	2021 Q1
Grundschule Hitzhusen	Schulstraße 3	24576	Hitzhusen	20.06.2019
Grundschule Hohenaspe	Schulstraße 1	25582	Hohenaspe	2020 Q3
Förderzentrum Steinburg Nordost	Birkenallee 11	25551	Hohenlockstedt	Termin noch offen
Wilhelm-Käber-Schule	Birkenallee 9	25551	Hohenlockstedt	Termin noch offen
Grundschule Hohenlockstedt	Finnische Allee 16	25551	Hohenlockstedt	2020 Q3
Schule am Park	Am Park 1 - 3	24594	Hohenwestedt	2020 Q4
Schule Hohe Geest	Rektor-Wurr-Straße 4 - 10	24594	Hohenwestedt	2020 Q4
Theodor-Storm-Schule	Schulstraße 1	24806	Hohn	2020 Q2
Grundschule Hoisdorf	Waldstraße 2	22955	Hoisdorf	Termin noch offen
Heinrich-Eschenburg-Schule	Schulstraße 5	25488	Holm (Pinneberg)	2020 Q2
Schule am See	Dorfstraße 14	24363	Holtsee	05.06.2018
Grundschule Op de Host	Birkenweg 19	25358	Horst (Holstein)	20.02.2020
Jacob-Struve-Schule	Heisterender Weg 19	25358	Horst (Holstein)	20.02.2020
Grundschule Horstedt	Hauptstraße 8	25860	Horstedt	2020 Q3
Grundschule Husby	Schulstraße 16	24975	Husby	2021 Q1
Hermann-Tast-Schule	Am Bahndamm 1	25813	Husum	21.09.2017
Schulpsychologischer Dienst Nordfriesland	Am Bahndamm 1 b	25813	Husum	25.09.2017
Bürgerschule Husum	Asmussenstraße 1	25813	Husum	26.09.2018
Bornschool	Bornweg 1	25813	Husum	Termin noch offen
Gemeinschaftsschule Nord	Brinckmannstraße 42	25813	Husum	04.09.2018
Ferdinand-Tönnies-Schule	Flensburger Chaussee 32	25813	Husum	26.09.2018
Berufliche Schule des Kreises Nordfriesland in Husum	Hermann-Tast-Straße 10	25813	Husum	28.09.2017
Rungholtschule	Hermann-Tast-Straße 62	25813	Husum	28.09.2017
Berufliche Schule des Kreises Nordfriesland in Husum	Herzog-Adolf-Straße 3	25813	Husum	13.10.2017
Theodor-Storm-Schule	Ludwig-Nissen-Straße 62	25813	Husum	26.09.2018
Schulamt Kreis Nordfriesland	Marktstr. 6	25813	Husum	26.09.2018
Iven-Agßen-Schule	Otto-Backens-Weg 3	25813	Husum	Termin noch offen
Klaus-Groth-Schule Husum 	Richard-von-Hagn-Straße 40	25813	Husum	26.09.2018
Pestalozzischule 	Schobüller Str. 38	25813	Husum	28.08.2019
Gemeinschaftsschule Husum Nord	Schobüller Strasse 38 - 40	25813	Husum	28.08.2019
Sophie-Scholl-Gymnasium	Am Lehmwohld 41	25524	Itzehoe	2020 Q1
Gemeinschaftsschule am Lehmwohld	Am Lehmwohld 43	25524	Itzehoe	2020 Q1
Grundschule Sude-West	Ansgarstraße 10	25524	Itzehoe	15.03.2019
Steinburg-Schule 	Einhardstraße 39	25524	Itzehoe	18.02.2019
Fehrs-Schule	Fehrsstraße 16	25524	Itzehoe	24.01.2019
Wolfgang-Borchert-Schule	Gorch-Fock-Straße 17	25524	Itzehoe	25.08.2017
Auguste-Viktoria-Schule	Gr. Paaschburg 50	25523	Itzehoe	15.03.2019
Auguste-Viktoria-Schule	Gr. Paaschburg 68	25524	Itzehoe	2020 Q1
Klosterhof-Schule	Hinterm Klosterhof 35	25524	Itzehoe	24.01.2019
Kaiser-Karl-Schule	Hinterm Sandberg 1 - 3	25524	Itzehoe	24.01.2019
Steinburg-Schule (Ast.)	Juliengardeweg 13	25524	Itzehoe	11.07.2019
Regionales Berufsbildungszentrum des Kreises Steinburg	Juliengardeweg 9	25524	Itzehoe	24.01.2019
Grundschule Wellenkamp	Kamper Weg 105 - 107	25524	Itzehoe	2020 Q1
Grundschule Edendorf	Obere Dorfstraße 8	25524	Itzehoe	14.05.2019
Ernst-Moritz-Arndt-Schule	Schäferkoppel 2	25524	Itzehoe	11.07.2019
Pestalozzi-Schule Itzehoe	Schulstraße 16	25524	Itzehoe	06.05.2019
Wolfgang-Borchert-Schule	Schulstraße 16 - 18	25524	Itzehoe	06.05.2019
Schulamt Kreis Steinburg	Viktoriastr. 16-18	25524	Itzehoe	06.02.2019
Schule am Ochsenweg	Neue Schulstraße 13	24808	Jevenstedt	2020 Q2
Lüttschool Drelsdorf-Joldelund	Schulstraße 4	25862	Joldelund	2021 Q1
Grundschule Jörl	Schulstraße 4	24992	Jörl	in Planung
Grundschule Jübek	Große Straße 64	24855	Jübek	2021 Q1
Dietrich-Bonhoeffer-Schule	Flottkamp 32	24568	Kaltenkirchen	27.05.2019
Gymnasium Kaltenkirchen	Flottkamp 34	24568	Kaltenkirchen	27.08.2019
Grundschule Marschweg	Hamburger Straße 70-72	24568	Kaltenkirchen	14.01.2019
Grundschule Flottkamp	Hohenmoorweg 101	24568	Kaltenkirchen	25.06.2019
Grundschule am Lakweg	Lakweg 2 - 4	24568	Kaltenkirchen	27.05.2019
Schule am Lakweg	Lakweg 4	24568	Kaltenkirchen	25.06.2019
Gemeinschaftsschule am Marschweg 	Marschweg 16 - 20	24568	Kaltenkirchen	25.06.2019
Janusz-Korczak-Schule	Von-Bodelschwingh-Straße 1	24568	Kaltenkirchen	01.04.2019
Gemeinschaftsschule an der Schlei	Hindenburgstraße 2	24376	Kappeln	17.05.2018
Klaus-Harms-Schule	Hüholz 16	24376	Kappeln	17.05.2018
Berufsbildungszentrum Schleswig	Kirchstraße 7	24376	Kappeln	10.10.2018
Gorch-Fock-Schule	Mürwiker Straße 7	24376	Kappeln	in Planung
Grundschule Karby	Schulweg 6	24398	Karby	in Planung
Gemeinschaftsschule mit Oberstufe Kellinghusen	Danziger Straße 40	25548	Kellinghusen	21.02.2019
Förderzentrum Steinburg Nordost	Otto-Ralfs-Str. 1a	25548	Kellinghusen	12.03.2019
Gemeinschaftsschule mit Oberstufe Kellinghusen	Otto-Ralfs-Str. 1a	25548	Kellinghusen	12.03.2019
Grundschule Kellinghusen	Otto-Ralfs-Straße 2	25548	Kellinghusen	14.05.2019
Grundschule Kiebitzreihe	Schulstraße 65	25368	Kiebitzreihe	2020 Q2
Gymnasium Elmschenhagen	Allgäuer Straße 30	24146	Kiel	03.12.2018
Lilli-Martius-Schule	Allgäuer Straße 30	24146	Kiel	03.12.2018
Schulamt Landeshauptstadt Kiel	Andreas-Gayk-Strasse 31	24103	Kiel	14.03.2018
Reventlouschule	Beselerallee 45 - 53	24105	Kiel	17.11.2017
Ernst-Barlach-Gymnasium	Charles-Ross-Ring 53	24106	Kiel	16.01.2018
Theodor-Storm-Gemeinschaftsschule	Danziger Straße 31	24148	Kiel	10.09.2019
Matthias-Claudius-Schule Kiel	Dorfstraße 4 - 6	24146	Kiel	03.12.2018
Friedrich Junge Gemeinschaftsschule - Standort Wik 	Elendsredder 26	24106	Kiel	28.06.2018
Regionales Berufsbildungszentrum Wirtschaft 	Feldstr. 9-11	24106	Kiel	27.11.2019
Hebbelschule	Feldstraße 177 - 179	24106	Kiel	18.10.2018
Kieler Gelehrtenschule	Feldstraße 19	24105	Kiel	29.11.2017
Fritz-Reuter-Schule	Fritz-Reuter-Straße 79 - 85	24159	Kiel	01.06.2018
Regionales Berufsbildungszentrum Technik	Geschwister-Scholl-Str. 15	24143	Kiel	27.06.2019
Regionales Berufsbildungszentrum Technik	Geschwister-Scholl-Straße 9	24143	Kiel	27.06.2019
Schule am Göteborgring - FöZ	Gotlandwinkel 16	24109	Kiel	04.07.2018
Schule am Göteborgring - GR	Gotlandwinkel 16	24109	Kiel	04.07.2018
Gerhart-Hauptmann-Schule	Große  Ziegelstraße 62	24148	Kiel	18.10.2018
Gutenbergschule Kiel  	Gutenbergstraße 61	24116	Kiel	14.03.2018
Goethe-Gemeinschaftsschule	Hansastr. 25	24118	Kiel	15.12.2017
Goetheschule	Hansastr. 25	24118	Kiel	15.12.2017
Ricarda-Huch-Schule	Hansastrasse 69 a	24118	Kiel	29.05.2018
Hardenbergschule	Hardenbergstraße 9 - 11	24105	Kiel	27.09.2018
Gemeinschaftsschule am Brook 	Iltisstraße 82	24143	Kiel	27.02.2019
Grundschule Fröbelschule	Iltisstraße 82	24143	Kiel	27.02.2019
Ellerbeker Schule	Klausdorfer Weg 62	24148	Kiel	07.06.2018
Humboldt-Schule	Knooper Weg 63	24116	Kiel	30.01.2019
Regionales Berufsbildungszentrum Soziales, Ernährung und Bau 	Königsweg 80	24114	Kiel	04.07.2018
Grundschule Kronsburg	Kuhlacker 30	24145	Kiel	27.06.2019
Friedrich Junge Gemeinschaftsschule - Standort Schreventeich	Langenbeckstraße 65	24116	Kiel	2020 Q1
Friedrich-Junge-Grundschule	Langenbeckstraße 65	24116	Kiel	2020 Q1
Muhliusschule	Legienstraße 23	24103	Kiel	13.03.2018
Johanna-Mestorf-Schule	Lütt Steenbusch 41 - 45	24145	Kiel	12.07.2019
Toni-Jensen-Gemeinschaftsschule	Masurenring 6	24149	Kiel	13.11.2019
Gorch-Fock-Schule	Melsdorfer Straße 53	24109	Kiel	15.06.2018
Gorch-Fock-Schule Kiel  -FÖZ geistige Entw.-	Melsdorfer Straße 53	24109	Kiel	15.06.2018
Fachbereich Krankenhausunterricht	Niemannsweg 147	24105	Kiel	2020 Q1
Max-Tau-Grund- und Gemeinschaftsschule 	Odensestraße 6	24109	Kiel	18.07.2018
Käthe-Kollwitz-Schule	Paul-Fleming-Straße 1	24114	Kiel	25.04.2018
Toni-Jensen-Grundschule	Poggendörper Weg 51	24149	Kiel	13.11.2019
Hans-Geiger-Gymnasium	Poppenrade 53	24148	Kiel	27.06.2019
Schulpsychologischer Dienst Stadt Kiel	Rathausstr. 14	24103	Kiel	05.09.2019
Gemeinschaftsschule Hassee	Rendsburger Landstraße 115	24113	Kiel	28.06.2018
Theodor-Heuss-Schule	Rendsburger Landstraße 127 d	24113	Kiel	07.09.2018
Grundschule Holtenau	Richthofenstraße 14 - 16	24159	Kiel	07.06.2018
Grundschule Russee	Russeer Weg 11	24111	Kiel	03.12.2018
Grundschule Schilksee	Schilkseer Straße 94	24159	Kiel	14.08.2018
Gymnasium Wellingdorf	Schönberger Straße 67 - 73	24148	Kiel	19.09.2019
Grundschule Wellsee	Schoolkamp 14	24145	Kiel	2020 Q2
Grundschule Suchsdorf	Schulweg 5	24107	Kiel	23.08.2018
Schule am Heidenberger Teich	Skagenweg 25	24109	Kiel	18.07.2018
Schule am Sonderburger Platz	Sonderburger Platz 1	24106	Kiel	28.06.2018
Uwe-Jens-Lornsen-Schule	Speckenbeker Weg 71	24113	Kiel	28.06.2018
Gemeinschaftsschule Friedrichsort	Steenbarg 10	24159	Kiel	30.01.2019
Regionales Berufsbildungszentrum Soziales, Ernährung und Bau 	Steenbecker Weg 153	24106	Kiel	15.06.2018
Hans-Christian-Andersen-Stadtteilschule	Stoschstraße 24-26	24143	Kiel	02.11.2018
Regionales Berufsbildungszentrum Soziales, Ernährung und Bau 	Tiefe Allee 32	24149	Kiel	19.09.2019
Adolf-Reichwein-Schule	Tiefe Allee 45	24149	Kiel	16.08.2019
Andreas-Gayk-Schule	Tiefe Allee 45	24149	Kiel	16.08.2019
Hermann-Löns-Schule	Tiroler Ring 289	24147	Kiel	03.12.2018
Leif-Eriksson-Gemeinschaftsschule 	Vaasastraße 43	24109	Kiel	27.09.2018
Thor-Heyerdahl-Gymnasium	Vaasastraße 43	24109	Kiel	27.09.2018
Lilli-Nielsen-Schule	Vaasastraße 43	24109	Kiel	27.09.2018
Regionales Berufsbildungszentrum Soziales, Ernährung und Bau 	Westring 100	24114	Kiel	25.04.2018
Regionales Berufsbildungszentrum Wirtschaft 	Westring 444	24118	Kiel	17.10.2018
Max-Planck-Schule	Winterbeker Weg 1	24114	Kiel	23.10.2018
Klaus-Groth-Schule mit Grundschule	Winterbeker Weg 45	24114	Kiel	23.10.2018
Grundschule Barkauer Land	Heinz-Storm-Straße 3	24245	Kirchbarkau	2021 Q1
Grund- und Gemeinschaftsschule Kisdorf	Grootredder 19	24629	Kisdorf	2020 Q4
Grundschule Klein Nordende-Lieth	Schulstraße 30	25336	Klein Nordende	22.01.2019
Grundschule Wiepeldorn	Am Rosengarten 2	25365	Klein Offenseth-Sparrieshoop	Derzeit keine wirtschaftliche Realisierung möglich
Grundschule Klixbüll	Schulstraße 5	25899	Klixbüll	26.11.2018
Schule am Deich	Schulstraße	25377	Kollmar	2021 Q1
Grundschule Kölln-Reisiek	Köllner Chaussee 129	25337	Kölln-Reisiek	Derzeit keine wirtschaftliche Realisierung möglich
Schulzentrum Krempermarsch	Am Burggraben 10	25361	Krempe	2020 Q3
Grundschule Kremperheide	Dorfstraße 24 - 26	25569	Kremperheide	2020 Q2
Marschenschool	Mittelstraße 33	25709	Kronprinzenkoog	2020 Q2
Grundschule Kronshagen	Eichkoppelweg 26	24119	Kronshagen	2020 Q1
Gemeinschaftsschule Kronshagen	Suchsdorfer Weg 33	24119	Kronshagen	13.11.2019
Gymnasium Kronshagen	Suchsdorfer Weg 35	24119	Kronshagen	13.11.2019
Förderzentrum Schleswig-Kropp	Schulstraße 15	24848	Kropp	01.02.2018
Geestlandschule	Schulstraße 15	24848	Kropp	01.02.2018
Grund- und Gemeinschaftsschule Stecknitz	Schulweg 3	23628	Krummesse	2020 Q2
Grundschule Kuddewörde	Möllner Straße 3	22958	Kuddewörde	Derzeit keine wirtschaftliche Realisierung möglich
Bilsbek-Schule	Prisdorfer Straße 72	25495	Kummerfeld	23.05.2019
Grundschule Laboe	Schulstraße 1	24235	Laboe	09.10.2018
Grundschule Ladelund-Achtrup	Schulstraße 13	25926	Ladelund	2021 Q4
Liliencronschule	Liliencronstraße 18	25566	Lägerdorf	2020 Q2
Grundschule Langballig	Hauptstraße 15 a	24977	Langballig	2020 Q2
Friedrich-Paulsen-Schule	An de School 1	25842	Langenhorn	26.06.2018
Grundschule Langwedel	Hörn 2	24631	Langwedel	2020 Q2
Albinus-Gemeinschaftsschule 	Schulstraße 1	21481	Lauenburg/Elbe	in Planung
Weingartenschule	Weingarten 10	21481	Lauenburg/Elbe	2020 Q1
Förderzentrum Südtondern 	Am Süderholz 13	25917	Leck	22.05.2019
Gemeinschaftsschule an der Lecker Au	Am Süderholz 13 a	25917	Leck	22.05.2019
Grundschule an der Linde Leck/ Enge Sande	Eesackerstraße 7	25917	Leck	26.11.2018
Grund- und Gemeinschaftsschule Leezen	Schulstraße 8	23816	Leezen	2021 Q1
Grundschule Schellhorn-Trent	Schulstr. 21	24211	Lehmkuhlen	15.11.2019
Berufliche Schule des Kreises Ostholstein in Oldenburg	Dr.-Julius-Stinde-Straße 4	23738	Lensahn	2020 Q1
Grund-und Gemeinschaftschule Lensahn	Schulstraße 8	23738	Lensahn	2020 Q1
Grundschule Lentföhrden	Schulstraße 63	24632	Lentföhrden	2020 Q2
Grundschule der Gemeinde Großenwiehe in Großenwiehe	Flensburger Str. 2	24969	Lindewitt	2020 Q3
Grundschulen Hemmingstedt	Kirchenallee	25746	Lohe-Rickelshof	2023 Q4
Albert-Schweitzer-Schule	Albert-Schweitzer-Straße 59	23566	Lübeck, Hansestadt	2020 Q2
Paul-Klee-Schule	Alexander Fleming Straße 6 - 12	23562	Lübeck, Hansestadt	21.05.2019
Schule Tremser Teich	Am Behnckenhof 37	23554	Lübeck, Hansestadt	15.08.2019
Gotthard Kühl-Schule	Am Neuhof 1a	23558	Lübeck, Hansestadt	10.01.2019
Johanneum zu Lübeck	Bei St. Johannis 1 - 3	23552	Lübeck, Hansestadt	2020 Q2
Willy-Brandt-Schule	Beim Meilenstein 2	23568	Lübeck, Hansestadt	25.02.2019
Berufsschule der Handwerkskammer Lübeck	Bessemerstraße 3	23562	Lübeck, Hansestadt	23.07.2018
Grundschule Eichholz	Bohlkamp 25	23564	Lübeck, Hansestadt	2021 Q1
Julius-Leber-Schule	Brockesstraße 59 - 61	23554	Lübeck, Hansestadt	23.07.2018
Heinrich-Mann-Schule	Brüder-Grimm-Ring 6 - 8	23560	Lübeck, Hansestadt	13.03.2019
Astrid-Lindgren-Schule	Brüder-Grimm-Ring 6 - 8	23560	Lübeck, Hansestadt	13.03.2019
Hanse-Schule	Dankwartsgrube 14 - 22	23552	Lübeck, Hansestadt	19.06.2019
Schule an der Wakenitz	Dieselstraße 16	23566	Lübeck, Hansestadt	17.07.2019
Oberschule zum Dom	Domkirchhof 1 - 3	23552	Lübeck, Hansestadt	2020 Q2
Dom-Schule	Domkirchhof 5 - 6	23552	Lübeck, Hansestadt	2020 Q2
Pestalozzi-Schule	Dornbreite 12	23556	Lübeck, Hansestadt	06.06.2019
Grundschule Groß Steinrade	Drögeneck 3	23556	Lübeck, Hansestadt	2020 Q2
Schulamt Hansestadt Lübeck	Fackenburger Allee 27	23539	Lübeck, Hansestadt	22.08.2018
Pestalozzi-Schule	Fackenburger Allee 71	23554	Lübeck, Hansestadt	27.11.2018
Dorothea-Schlözer-Schule	Fischstraße 11 - 15	23552	Lübeck, Hansestadt	in Planung
Emil-Possehl-Schule	Georg-Kerschensteiner-Straße 27	23554	Lübeck, Hansestadt	16.08.2018
Friedrich-List-Schule	Georg-Kerschensteiner-Straße 29	23554	Lübeck, Hansestadt	16.08.2018
Emanuel-Geibel-Schule	Glockengiesserstraße 33 - 37	23552	Lübeck, Hansestadt	2020 Q2
Matthias-Leithoff-Schule	Haferkoppel 11	23569	Lübeck, Hansestadt	05.12.2019
Schule Marli	Heinrichstraße 19 - 21	23566	Lübeck, Hansestadt	25.11.2019
Schule Falkenfeld	Helgolandstraße 5	23554	Lübeck, Hansestadt	10.01.2019
Ernestinenschule (Ast.)	Hinter der Burg 2	23552	Lübeck, Hansestadt	07.10.2019
Stadtschule Travemünde	Hirtengang 10	23570	Lübeck, Hansestadt	13.11.2018
Schule Lauerholz	Holzvogtweg 18	23568	Lübeck, Hansestadt	2021 Q1
Dorothea-Schlözer-Schule	Jerusalemsberg 1 - 3	23568	Lübeck, Hansestadt	20.12.2018
Kahlhorst-Schule	Kahlhorststraße 41	23562	Lübeck, Hansestadt	20.12.2018
Kaland-Schule	Kalandstraße 8	23564	Lübeck, Hansestadt	2020 Q4
Grund-und Gemeinschaftsschule mit Oberstufe St. Jürgen i. E.	Kalkbrennerstraße 5	23562	Lübeck, Hansestadt	07.02.2019
Baltic-Schule	Karavellenstraße 2 - 4	23558	Lübeck, Hansestadt	10.01.2019
Trave - Grund- und Gemeinschaftsschule	Kirchplatz 7	23569	Lübeck, Hansestadt	05.12.2019
Ernestinenschule	Kleine Burgstraße 24 - 26	23552	Lübeck, Hansestadt	2020 Q2
Schule am Koggenweg	Koggenweg 1	23558	Lübeck, Hansestadt	13.11.2018
Katharineum zu Lübeck	Königstraße 27 - 31	23552	Lübeck, Hansestadt	2020 Q2
Paul-Klee-Schule	Krog 30	23560	Lübeck, Hansestadt	25.11.2019
Kahlhorst-Schule	Krummesser Landstraße 7	23560	Lübeck, Hansestadt	2020 Q1
Willy-Brandt-Schule	Krümmling 36a	23568	Lübeck, Hansestadt	06.08.2019
Trave-Gymnasium	Kücknitzer Hauptstraße 26	23569	Lübeck, Hansestadt	25.11.2019
Trave - Grund- und Gemeinschaftsschule 	Kücknitzer Hauptstraße 26	23569	Lübeck, Hansestadt	25.11.2019
Berend-Schröder-Schule	Langer Lohberg 24	23552	Lübeck, Hansestadt	2020 Q2
Marien-Schule	Langer Lohberg 6 - 8	23552	Lübeck, Hansestadt	2020 Q2
Gotthard Kühl-Schule	Lortzingstraße 27	23556	Lübeck, Hansestadt	29.01.2019
Julius-Leber-Schule	Marquardplatz 7	23554	Lübeck, Hansestadt	27.08.2018
Bugenhagen-Schule	Moislinger Allee 32	23558	Lübeck, Hansestadt	09.05.2018
Luther-Schule	Moislinger Allee 82	23558	Lübeck, Hansestadt	27.08.2018
Mühlenweg-Schule	Moislinger Mühlenweg 56 - 58	23560	Lübeck, Hansestadt	2021 Q1
Grund-und Gemeinschaftsschule mit Oberstufe St. Jürgen i. E.	Mönkhofer Weg 95	23562	Lübeck, Hansestadt	07.02.2019
Gewerbeschule - Nahrung und Gastronomie - 	Parade 2	23552	Lübeck, Hansestadt	19.06.2019
Paul-Gerhardt-Schule	Paul-Gerhardt-Straße 4 - 8	23554	Lübeck, Hansestadt	21.05.2019
Rangenberg-Schule	Rangenberg 74 - 76	23569	Lübeck, Hansestadt	06.06.2019
Schule Grönauer Baum	Reetweg 5 - 7	23562	Lübeck, Hansestadt	10.04.2019
Willy-Brandt-Schule	Schlutuper Kirchstrasse 10	23568	Lübeck, Hansestadt	06.08.2019
Schule Roter Hahn	Schneidemühlstraße 1	23569	Lübeck, Hansestadt	14.01.2020
Grundschule Schönböcken	Schönböckener Hauptstraße 18	23556	Lübeck, Hansestadt	2020 Q2
Schule am Stadtpark	Schulstraße 22	23568	Lübeck, Hansestadt	29.01.2019
Schule Wilhelmshöhe	Schwartauer Allee 132	23554	Lübeck, Hansestadt	28.08.2018
Maria-Montessori-Schule	Stellbrinkstraße 1	23556	Lübeck, Hansestadt	27.11.2018
Schule am Meer	Strandweg 1	23570	Lübeck, Hansestadt	19.06.2019
Thomas-Mann-Schule	Thomas-Mann-Straße 14	23564	Lübeck, Hansestadt	28.08.2018
Geschwister-Prenski-Schule	Travemünder Allee 5 a	23568	Lübeck, Hansestadt	22.08.2018
Grundschule Utkiek	Utkiek 22	23569	Lübeck, Hansestadt	14.01.2020
Schule Lauerholz	Waldstr. 31a	23568	Lübeck, Hansestadt	2020 Q4
Holstentor-Gemeinschaftsschule	Wendische Straße 55	23558	Lübeck, Hansestadt	2020 Q2
Berufsschule der Handwerkskammer Lübeck	Wiekstraße 5	23570	Lübeck, Hansestadt	07.02.2019
Carl-Jacob-Burckhardt-Gymnasium	Ziegelstr. 38	23556	Lübeck, Hansestadt	13.03.2019
Friedrich-Elvers-Schule	Am Gehölz 12	25774	Lunden	2023 Q4
Grundschule Lunden	Am Gehölz 12	25774	Lunden	2023 Q4
Grundschule Lütau	Alte Salzstraße 48	21483	Lütau	Potenziell Glasfaser möglich - Glasfaserausbau durch regionalen Partner in Planung
Förderzentrum Plön	Friedrich-Speck-Str. 10	24321	Lütjenburg	09.10.2018
Gemeinschaftsschule im Hoffmann-von-Fallersleben-Schulzentrum	Kieler Straße 30	24321	Lütjenburg	09.10.2018
Gymnasium im Hoffmann-von-Fallersleben-Schulzentrum	Kieler Straße 30	24321	Lütjenburg	09.10.2018
Grundschule Lütjenburg	Plöner Straße 22 - 24	24321	Lütjenburg	30.08.2018
Grundschule Lütjensee	Hamburger Straße 11	22952	Lütjensee	2020 Q2
Grundschule Wiepeldorn	Schulberg 31	25355	Lutzhorn	23.07.2019
Berufliche Schule des Kreises Ostholstein in Eutin	Luisenstraße 4 - 6	23714	Malente	03.07.2018
Grundschule Malente	Marktstraße 2	23714	Malente	03.07.2018
Schule an den Auewiesen	Neversfelder Straße 11	23714	Malente	03.07.2018
Gymnasium Marne	Bürgermeister-Plambeck-Straße 9	25709	Marne	2023 Q4
Reimer-Bull-Schule	Hafenstrasse 12	25709	Marne	2023 Q4
Förderzentrum Dithmarschen-Süd	Wilhelmstraße 35	25709	Marne	2023 Q4
Grundschule Medelby	Hauptstraße 4	24994	Medelby	2020 Q4
Meldorfer Gelehrtenschule	An den Anlagen 16	25704	Meldorf	21.11.2018
Förderzentrum Süderdithmarschen 	Büttelsweg 2	25704	Meldorf	09.04.2019
Astrid-Lindgren-Schule 	Eescher Weg 69	25704	Meldorf	06.02.2019
Regionales BerufsBildungsZentrum Dithmarschen	Friedrichshöfer Straße 31	25704	Meldorf	12.09.2019
Grundschule Meldorf	Rosenstraße 36 - 28	25704	Meldorf	21.11.2018
Gemeinschaftsschule des Schulverbandes Meldorf	Weiderbaum	25704	Meldorf	21.11.2018
Regenbogenschule	Dorfstraße 13	24109	Melsdorf	18.07.2018
Grundschule Föhr-Land	Schulweg 20	25938	Midlum	Derzeit keine wirtschaftliche Realisierung möglich
Grundschule Eidertal	Dorfstraße 32	24247	Mielkendorf	2020 Q3
Grund- und Gemeinschaftsschule Mildstedt	Kirchenweg 8b	25866	Mildstedt	2020 Q3
Bernstorff-Gymnasium 	Am Gymnasium 4	24986	Mittelangeln	06.02.2018
Struensee Gemeinschaftsschule	Dennertweg	24986	Mittelangeln	06.02.2018
Regenbogenschule	Schleswiger Straße 16-18	24986	Mittelangeln	06.02.2018
Grundschule Eidertal	Olendieksbarg 12 - 14	24113	Molfsee	26.07.2018
Gemeinschaftsschule der Stadt Mölln	Auf dem Schulberg	23879	Mölln	29.11.2018
Till-Eulenspiegel-Schule	Auf dem Schulberg	23879	Mölln	29.11.2018
Marion-Dönhoff-Gymnasium 	Auf dem Schulberg 1	23879	Mölln	29.11.2018
Schule Steinfeld	Bürgermeister-Oetken-Straße 3	23879	Mölln	15.11.2018
Berufsbildungszentrum Mölln	Kerschensteinerstraße 2	23879	Mölln	15.11.2018
Grundschule Tanneck	Papenkamp 8	23879	Mölln	15.11.2018
Astrid-Lindgren-Schule	Schäferkamp 16	23879	Mölln	29.11.2018
Berufsbildungszentrum Mölln	Schmilauer Str. 66	23879	Mölln	15.11.2018
Grundschule an der Bake	Dorfstraße 6	24248	Mönkeberg	17.09.2019
Gemeinschaftsschule Am Himmelsbarg	Kirchenstraße 30	25436	Moorrege	2020 Q2
Grundschule Moorrege	Klinkerstraße 8	25436	Moorrege	2020 Q1
Grundschule Münsterdorf	Kirchenstraße 7	25587	Münsterdorf	2020 Q3
Grundschule Müssen	Zum Sportplatz	21516	Müssen	2020 Q4
Schule im Alsterland	Lüttmoor 5	23866	Nahe	2020 Q4
Öömrang-Skuul	Uasterstigh 49	25946	Nebel	Derzeit keine wirtschaftliche Realisierung möglich
Grundschule Neuengörs	Schulstraße 1	23818	Neuengörs	2020 Q2
Grundschule Oldenburg-Land	Schulstr. 3	23779	Neukirchen	Derzeit keine wirtschaftliche Realisierung möglich
Emil-Nolde-Schule	Otzhusumweg 6	25927	Neukirchen (Nordfriesland)	2021 Q1
Stadt Neumünster, Zentralanschluss Schulen	Friedrichstraße 7	24534	Neumünster	22.01.2020
Grundschule Neustädter Bucht 	Am Steinkamp 5	23730	Neustadt in Holstein	23.01.2019
Küstengymnasium Neustadt	Butzhorn 85	23730	Neustadt in Holstein	23.01.2019
Berufliche Schule des Kreises Ostholstein in Oldenburg	Reiferbahn 2	23730	Neustadt in Holstein	2020 Q2
Schule am Rosengarten	Rosengarten 20	23730	Neustadt in Holstein	05.02.2019
