Bezeichner	Straße	PLZ	Ort	Voraussichtliche Inbetriebnahme
Grundschule Bargenstedt-Schafstedt	Klintweg 7	25704	Bargenstedt	2023 Q4
Grundschule Alte Alster	Schulstraße 10	23863	Bargfeld-Stegen	in Planung
Grundschule Nortorf	Dorfstr. 23	24793	Bargstedt	Derzeit keine wirtschaftliche Realisierung möglich
Albert-Schweitzer-Schule 	Alte Landstraße 55	22941	Bargteheide	2020 Q4
Johannes-Gutenberg-Schule	Alte Landstraße 79	22941	Bargteheide	2020 Q4
Kopernikus Gymnasium 	Am Schulzentrum 1	22941	Bargteheide	2020 Q4
Dietrich-Bonhoeffer-Schule	Am Schulzentrum 11	22941	Bargteheide	2020 Q4
Emil-Nolde-Schule	Am Schulzentrum 11 a	22941	Bargteheide	2020 Q4
Gymnasium Eckhorst	Eckhorst	22941	Bargteheide	2020 Q4
Anne-Frank-Schule Bargteheide	Emil-Nolde-Straße 9	22941	Bargteheide	2020 Q4
Carl-Orff-Schule	Segeberger Straße 1	22941	Bargteheide	2020 Q4
Grundschule Barkelsby	Dorfstraße 13	24360	Barkelsby	in Planung
Carl-Friedrich-von-Weizsäcker-Gymnasium	Ede-Menzler-Weg 6	25355	Barmstedt	04.09.2019
Albert-Schweitzer-Schule	Heederbrook 10	25355	Barmstedt	04.09.2019
James-Krüss-Schule	Heederbrook 10 a	25355	Barmstedt	04.09.2019
Gottfried-Semper-Schule	Schulstraße 5	25355	Barmstedt	04.09.2019
Grundschule Barsbüttel	Soltausredder 18	22885	Barsbüttel	05.11.2019
Erich Kästner Gemeinschaftsschule Barsbüttel mit Oberstufe	Soltausredder 28	22885	Barsbüttel	05.11.2019
Grundschule Willinghusen	Stemwarder Landstraße 4	22885	Barsbüttel	in Planung
Grundschule Stapelholm	Hersbarg 2	24861	Bergenhusen	2021 Q1
Grund- und Gemeinschaftsschule Stecknitz	Berliner Straße 20	23919	Berkenthin	2020 Q1
Regionales Berufsbildungszentrum des Kreises Plön	Futterkamp-Siedlung	24327	Blekendorf	Potenziell Glasfaser möglich - Glasfaserausbau durch regionalen Partner in Planung
Ostseeschule	Radeberg 20	24327	Blekendorf	2020 Q2
James-Krüss-Schule	Hauptstraße 87	25335	Bokholt-Hanredder	23.07.2019
Auenwaldschule Grundschule	Stolker Straße 4	24860	Böklund	22.02.2018
Auenwaldschule	Stolker Straße 4	24860	Böklund	22.02.2018
Grundschule Bönebüttel	Plöner Chaussee 103	24620	Bönebüttel	2020 Q3
Gemeinschaftschule Rugenbergen	Ellerbeker Straße 25	25474	Bönningstedt	12.11.2019
Grundschule Bönningstedt	Kieler Straße 118	25474	Bönningstedt	12.11.2019
Grund- und Gemeinschaftsschule Boostedt	Twiete 46	24598	Boostedt	13.06.2019
Grundschule Bordelum	An der Schule 2	25852	Bordelum	05.06.2018
Hans-Brueggemann-Schule	Langenheisch 27 - 29	24582	Bordesholm	2020 Q2
Lindenschule	Schulstrasse 4 - 6	24582	Bordesholm	2020 Q2
Grundschule Borgstedt	Rendsburger Straße 51	24794	Borgstedt	26.02.2020
Sventana-Schule	Jahnweg 6	24619	Bornhöved	2020 Q4
Dalbek-Schule	Hamfelderedder 17	21039	Börnsen	2020 Q3
Grundschule Borstel-Hohenraden	Quickborner Straße 99	25494	Borstel-Hohenraden	2020 Q3
Heinrich-Harms-Schule	Roggenkamp 1	23715	Bosau	2021 Q1
Grundschule Hörnerkirchen	Schulweg 3	25364	Brande-Hörnerkirchen	2020 Q2
Grundschule Bredenbek	Wakendorfer Weg 2	24796	Bredenbek	2020 Q2
Grundschule Breklum-Bredstedt-Bordelum	Gartenstraße 15	25821	Bredstedt	01.08.2018
Gemeinschaftsschule mit Förderzentrum 	Süderstraße 79	25821	Bredstedt	26.06.2018
Berufliche Schule des Kreises Nordfriesland in Husum	Theodor-Storm-Straße 2	25821	Bredstedt	05.06.2018
Grundschule Breitenfelde	Schulstraße 17	23881	Breitenfelde	2020 Q3
Grundschule am Osterbach	Kirchenstraße 20	25821	Breklum	26.06.2018
Grundschule Hennstedt und Brokstedt 	Schulstraße 11	24616	Brokstedt	Derzeit keine wirtschaftliche Realisierung möglich
Landschule an der Eider	Oberdorf 17	24582	Brügge	2020 Q3
Gymnasium Brunsbüttel	Kopernikusstraße 1	25541	Brunsbüttel	2020 Q2
Förderzentrum Dithmarschen-Süd	Kopernikusstraße 5-7	25541	Brunsbüttel	2020 Q2
Gemeinschaftsschule der Stadt Brunsbüttel	Kopernikusstraße 5-7	25541	Brunsbüttel	2020 Q2
Grundschule Brunsbüttel-West	Sackstraße 14	25541	Brunsbüttel	21.11.2019
Boy-Lornsen-Grundschule Brunsbüttel	Schulstraße 2 - 4	25541	Brunsbüttel	21.11.2019
Friedegart-Belusa-Gemeinschaftsschule 	Schulweg 1	21514	Büchen	2020 Q4
Schule am Steinautal	Schulweg 1	21514	Büchen	2020 Q4
Grundschule am Klev	Hopfenhof 9	25712	Buchholz	2021 Q4
Heinrich-Heine-Schule	Neue Dorfstr. 67	24782	Büdelsdorf	09.11.2017
Astrid-Lindgren-Schule	Neue Dorfstraße 110	24782	Büdelsdorf	16.08.2017
Wulf-Isebrand-Schule	Schulstraße 10	25767	Bunsoh	2023 Q4
Gemeinschaftsschule am Hamberg	Am Sportplatz 21	25712	Burg (Dithmarschen)	2021 Q4
Grundschule Burg	Bahnhofstraße 33	25712	Burg (Dithmarschen)	2021 Q4
Grundschule Haddeby	Schulstraße 19	24866	Busdorf	2020 Q3
Schule am Meer Büsum	Neuer Weg 4	25761	Büsum	15.01.2019
Schule am Meer Büsum	Otto-Johannsen-Straße 17	25761	Büsum	15.01.2019
Helen-Keller-Schule	Passatring 4	24351	Damp	03.05.2018
Grundschule Dänischenhagen	Schulstraße 13	24229	Dänischenhagen	12.01.2018
Grundschule des Schulverbandes Blekendorf in Blekendorf	Hauptstraße 7	24329	Dannau	Derzeit keine wirtschaftliche Realisierung möglich
Alfried-Otto-Schule	Bornweg 18	21521	Dassendorf	in Planung
Eiderschule	Schulstraße 18	25786	Dellstedt	2023 Q4
Lüttschool Drelsdorf-Joldelund	Karkenweg 22	25853	Drelsdorf	Potenziell Glasfaser möglich - Glasfaserausbau durch regionalen Partner in Planung
Richard-Vosgerau-Schule	Bergstraße 26	24340	Eckernförde	05.10.2017
Fritz-Reuter-Schule	Breslauer Straße 12 - 14	24340	Eckernförde	10.10.2017
Berufsbildungszentrum Rendsburg-Eckernförde	Fischerkoppel 8	24340	Eckernförde	10.10.2017
Gudewerdt Gemeinschaftsschule 	Pferdemarkt 66	24340	Eckernförde	17.10.2017
Pestalozzischule	Reeperbahn 50	24340	Eckernförde	17.10.2017
Jungmannschule	Sauerstraße 16	24340	Eckernförde	20.10.2017
Peter-Ustinov-Schule	Sauerstraße 16	24340	Eckernförde	20.10.2017
Schule am Noor	Stolbergring 20 - 22	24340	Eckernförde	15.12.2017
Sprottenschule	Wulfsteert 41-43	24340	Eckernförde	05.10.2017
Grundschule am Klev	Schulstraße 20	25715	Eddelak	2023 Q4
Eichenbachschule	Hauptstraße 34	24852	Eggebek	2021 Q1
Grundschule Ellerau	Dorfstraße 51	25479	Ellerau	12.11.2019
Hermann-Löns-Schule	Rugenbergener Mühlenweg	25474	Ellerbek	2021 Q1
Gottfried-Semper-Schule	Dorfstraße 5	25373	Ellerhoop	21.11.2019
Berufliche Schule des Kreises Pinneberg in Elmshorn	Thiensen 16	25363	Ellerhoop	2020 Q4
Grundschule Kaltenweide	Amandastraße 42	25335	Elmshorn	22.01.2019
Anne-Frank-Gemeinschaftsschule	Binsenweg 1	25337	Elmshorn	19.11.2018
Bismarckschule Elmshorn	Bismarckstraße 2	25335	Elmshorn	19.11.2018
Paul-Dohrmann-Schule	Dohrmannweg 4	25337	Elmshorn	13.01.2020
Grundschule Hafenstraße	Hafenstraße 1 - 3	25336	Elmshorn	01.04.2019
Erich Kästner Gemeinschaftsschule mit Oberstufe	Hainholzer Damm 15	25337	Elmshorn	13.12.2018
Grundschule Hainholz	Hainholzer Schulstraße 41	25337	Elmshorn	13.12.2018
Friedrich-Ebert-Schule	Jahnstraße 14	25335	Elmshorn	2020 Q1
Astrid-Lindgren-Schule	Köllner Chaussee 10 b	25337	Elmshorn	19.11.2018
Boje-C.-Steffen-Gemeinschaftsschule	Koppeldamm 50	25335	Elmshorn	19.11.2018
Berufliche Schule des Kreises Pinneberg in Elmshorn	Langelohe 4	25337	Elmshorn	19.11.2018
Timm-Kröger-Schule Elmshorn	Mommsenstraße 27	25336	Elmshorn	2020 Q1
Raboisenschule	Raboisenstraße 43	25336	Elmshorn	12.11.2019
Erich Kästner Gemeinschaftsschule mit Oberstufe	Ramskamp	25337	Elmshorn	19.11.2018
Berufliche Schule des Kreises Pinneberg in Elmshorn	Ramskamp 8	25337	Elmshorn	13.12.2018
Elsa-Brändström-Schule	Zum Krückaupark 7	25337	Elmshorn	19.11.2018
Grundschule Elpersbüttel-Barlt	Donnstraße 1	25704	Elpersbüttel	14.05.2019
Grundschule Groß Vollstedt	Emkendorfer Straße 105	24802	Emkendorf	in Planung
Grundschule an der Linde Leck/ Enge-Sande	Schulstraße	25917	Enge-Sande	Derzeit keine wirtschaftliche Realisierung möglich
Geestlandschule	Am Sportplatz 4	24803	Erfde	08.01.2019
Grundschule Stapelholm	Am Sportplatz 4	24803	Erfde	08.01.2019
Grüppental-Schule	Am Soll 1	21039	Escheburg	2020 Q2
Gustav-Peters-Schule (AS Fissau)	Auestraße 11	23701	Eutin	30.08.2019
Albert-Mahlstedt-Schule 	Bahnhofstraße 7 a	23701	Eutin	25.02.2019
Johann-Heinrich-Voss-Schule	Bismarckstraße 14	23701	Eutin	29.05.2019
Gustav-Peters-Schule	Blaue Lehmkuhle	23701	Eutin	04.04.2019
Wilhelm-Wisser-Schule	Elisabethstraße 59	23701	Eutin	16.05.2019
Berufliche Schule des Kreises Ostholstein in Eutin	Holstenweg 13	23701	Eutin	05.02.2019
Schulamt Kreis Ostholstein	Lübecker Strasse 41	23701	Eutin	13.03.2018
Kreis Ostholstein	Lübecker Strasse 41	23701	Eutin	13.03.2018
Gustav-Peters-Schule	Lübsche Koppel 5a	23701	Eutin	16.05.2019
Carl-Maria-von-Weber-Schule	Plöner Straße 15	23701	Eutin	28.05.2019
Berufliche Schule des Kreises Ostholstein in Eutin	Wilhelmstraße 6	23701	Eutin	05.02.2019
Grundschule Fahrdorf	Dorfstraße 97	24857	Fahrdorf	16.01.2019
Grundschule Fahrenkrug	Segeberger Straße 7	23795	Fahrenkrug	Termin noch offen
